Category,Skills & Details,Tools & Technologies,Education Details
Data Science,Python- Exprience - Less than 1 year months Statsmodels- Exprience - 12 months AWS- Exprience - Less than 1 year months Machine learning- Exprience - Less than 1 year months Sklearn- Exprience - Less than 1 year months Scipy- Exprience - Less than 1 year months Keras- Exprience - Less than 1 year monthsCompany Details,"Data Modelling, BOBJ, Time Series Forecasting","May 2013 to May 2017 B.E   UIT-RGPV
Data Scientist "
,Numpy- Exprience - Less than 1 year months Machine Learning- Exprience - Less than 1 year months Tensorflow- Exprience - Less than 1 year months Scikit- Exprience - Less than 1 year months Python- Exprience - Less than 1 year months GCP- Exprience - Less than 1 year months Pandas- Exprience - Less than 1 year months Neural Network- Exprience - Less than 1 year months,"Python, Natural language processing, NLTK, spacy, topic modelling, Sentiment analysis, Word Embedding, scikit-learn, JavaScript/JQuery, SqlServer",B.Tech Rayat and Bahra Institute of Engineering and Biotechnology
,Data Structure- Exprience - Less than 1 year months C- Exprience - Less than 1 year months Data Analysis- Exprience - Less than 1 year months Python- Exprience - Less than 1 year months Core Java- Exprience - Less than 1 year months Database Management- Exprience - Less than 1 year months,"spacy, topic modelling, Sentiment analysis,","MCA YMCAUST, Faridabad, Haryana"
,"Numpy- Exprience - Less than 1 year months
Machine Learning- Exprience - Less than 1 year months
Tensorflow- Exprience - Less than 1 year months
Scikit- Exprience - Less than 1 year months
Python- Exprience - Less than 1 year months
GCP- Exprience - Less than 1 year months
Pandas- Exprience - Less than 1 year months
Neural Network- Exprience - Less than 1 year months","Programming Languages Python, C Libraries Seaborn, Numpy, Pandas, Cufflinks, Matplotlib Algorithms KNN, Decision Tree, Linear regression, Logistic Regression, Neural Networks, K means clustering, Tensorflow, SVM Databases SQL, Oracle Operating Systems Linux, Window Development Environments NetBeans, Notebooks, Sublime Ticketing tools Service Now, Remedy",UG Education: B.Tech (Computer Science) from Rayat and Bahra Institute of Engineering and Biotechnology passed with 78.4%in 2016.
,"JAVASCRIPT Exprience 24 months 
jQuery Exprience 24 months 
Python Exprience 24 months",Python scikit learn tfidf word2vec doc2vec cosine similarity NaÃƒ ve Bayes LDA NMF for topic modelling Vader and text blob for sentiment analysis Matplot lib Tableau dashboard for reporting,January 2018 Master of Engineering Computer Technology Application Bhopal Madhya Pradesh Truba Institute of Engineering Information Technology January 2010 B E computer science Bhopal Madhya Pradesh RKDF Institute of Science and Technology College of Engineering January 2006 Polytechnic Information Technology Vidisha Madhya Pradesh SATI Engineering College in Vidisha January 2003 M tech Thesis Detail BMCH School in Ganj basoda
,"BI Exprience 6 months 
Business Intelligence Exprience 6 months 
Machine Learning Exprience 24 months 
Visualization Exprience 24 months 
spark Exprience 24 months 
python Exprience 36 months 
tableau Exprience 36 months 
Data Analysis Exprience 24 months","Python, Tableau, QlikSense, OpenCV, TensorFlow, Spark, PySpark, Hadoop, Hive, AWS LEX, IBM Bluemix, IBM Watson, Selenium WebDriver, Microsoft Face API, Python NLP libraries, Hadoop Eco System, QlikSense
","Post Graduate Program (PGP) in Data Science from Aegis School of Data Science, Mumbai, Maharashtra.
Bachelor of Engineering (B.E.) in Electronics and Communication from IES IPS Academy, Indore, Madhya Pradesh."
,"Numpy Exprience Less than 1 year months 
Machine Learning Exprience Less than 1 year months 
Tensorflow Exprience Less than 1 year months 
Scikit Exprience Less than 1 year months 
Python Exprience Less than 1 year months 
GCP Exprience Less than 1 year months 
Pandas Exprience Less than 1 year months 
Neural Network Exprience Less than 1 year months","ServiceNow
Remedy",B Tech Rayat and Bahra Institute of Engineering and Biotechnology Data Science Data Science
,"LINEAR PROGRAMMING- Exprience - 6 months 
RETAIL- Exprience - 6 months 
RETAIL MARKETING- Exprience - 6 months 
SCM- Exprience - 6 months 
SQL- Exprience - Less than 1 year months 
Deep Learning- Exprience - Less than 1 year months 
Machine learning- Exprience - Less than 1 year months
Python- Exprience - Less than 1 year months 
R- Exprience - Less than 1 year months","R, SAP HANA, T-SQL.Tableau, Python, NLP, Data Modelling, BOBJ, Time Series Forecasting.","January 2017 to January 2018 PGDM Business Analytics Great Lakes Institute of Management & Illinois Institute of Technology January 2013 Bachelor of Engineering Electronics and Communication Bengaluru, Karnataka New Horizon College of Engineering, Bangalore Visvesvaraya Technological University"
,"Python- Exprience - Less than 1 year months 
Statsmodels- Exprience - 12 months 
AWS- Exprience - Less than 1 year months 
Machine learning- Exprience - Less than 1 year months 
Sklearn- Exprience - Less than 1 year months 
Scipy- Exprience - Less than 1 year months 
Keras- Exprience - Less than 1 year months","Python, AWS",May 2013 to May 2017 B.E UIT-RGPV
,"Data and Quantitative Analysis, Decision Analytics, Predictive Modeling, Data-Driven Personalization, KPI Dashboards, Big Data Queries and Interpretation, Data Mining and Visualization, Machine Learning Algorithms, Business Intelligence (BI), Research Reports and Forecasts, Retail Analytics, SCM Analytics, Social Media Analytics, Natural Language Processing (NLP), Linear Programming, Data Modelling, Advanced Analytics.","Python, R, C, Tableau, SAP Lumira, SAP HANA Predictive Analysis Library (PAL), LSTM models, K-means clustering, Decision Trees, SAP HANA, MS SQL, SQL Server (2008, 2014), SAP HANA Attribute View, Analytic View, Calculation View, SAP BusinessObjects (BOBJ), Anaconda3, IBM Bluemix, Selenium WebDriver, Microsoft Face API, Hadoop Eco System, SAP HANA SPS12, SAP Predictive Analytics, Visual Studio 2010, Windows Server, SQL Server Profiler, Performance Monitor, UML for Data Flow Diagrams and Entity Relationship Diagrams.","Post Graduate Diploma in Management (PGDM) in Business Analytics
Great Lakes Institute of Management & Illinois Institute of Technology (January 2017 to January 2018)
Bachelor of Engineering (B.E.) in Electronics and Communication
New Horizon College of Engineering, Bangalore, Karnataka, affiliated with Visvesvaraya Technological University (January 2013)"
